N,P,K,temperature,humidity,ph,rainfall,label
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,peas
31,72,17,28.69180475,49.47225353,5.833031708,96.36222901,peas
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,peas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,peas
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,peas
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,peas
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,peas
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,peas
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,peas
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,peas
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,peas
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,peas
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,peas
16,71,24,18.33124824,38.40975482,4.946369874,139.6483317,peas
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,peas
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,peas
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,peas
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,peas
1,76,19,24.18553163,46.68746847,6.669529416,177.3377996,peas
6,69,19,26.88630675,41.69617915,4.750929218,94.46748008,peas
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,peas
27,61,18,33.30711818,67.07780816,5.266227032,108.5090168,peas
27,71,23,23.45379018,46.48714759,7.10959773,150.8712202,peas
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,peas
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,peas
26,72,22,28.76794904,37.57792132,4.674941549,91.72084869,peas
17,64,16,30.97758716,32.24914235,7.161797643,180.716828,peas
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,peas
39,60,15,35.09357419,30.98685456,5.004074624,116.9106908,peas
6,66,15,34.93174223,30.40046769,6.345806011,159.2649827,peas
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,peas
2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,peas
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,peas
16,73,19,18.41645629,34.80541039,4.684079249,163.2747473,peas
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,peas
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,peas
28,59,22,30.90607799,52.79913039,7.05181629,170.9919828,peas
5,62,23,27.9348279,66.45457122,4.722222454,145.3728801,peas
36,67,25,35.95176642,36.52780776,6.418062652,136.0456753,peas
1,66,23,19.54317155,56.92831399,4.803564468,173.1686574,peas
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,peas
17,67,18,31.2192752,56.46868874,5.611510977,129.2028653,peas
5,55,18,33.50876355,45.70976142,7.322097972,126.6738117,peas
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,peas
37,77,17,36.20970524,31.94550613,5.617122801,191.0658531,peas
13,73,20,30.50420876,35.48885969,5.391560418,162.5927723,peas
6,63,23,26.01630259,49.94704718,5.906596905,160.3337447,peas
16,77,22,31.48469278,35.6395615,6.574209678,100.546816,peas
25,64,20,33.15122581,32.45974539,4.807776749,105.0380275,peas
34,75,24,23.50222822,51.29019509,4.760038039,192.3023991,peas
20,77,23,34.87248659,38.83786012,5.180271502,148.2502786,peas
35,80,25,28.09269012,44.93322042,4.895927306,197.1144011,peas
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,peas
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,peas
7,77,18,20.5591255,60.54880693,6.655918078,191.0895109,peas
29,78,25,19.95991719,59.33157782,5.982854523,195.787103,peas
30,60,21,28.87667593,62.4901206,5.457871273,182.2688175,peas
20,74,16,36.04353699,43.61444121,4.759490199,159.8938645,peas
19,57,23,23.6734328,47.2879691,7.342409555,141.1250722,peas
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,peas
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,peas
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,peas
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,peas
9,59,24,20.43517772,39.37252634,4.747352458,137.2279662,peas
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,peas
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,peas
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,peas
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,peas
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,peas
27,74,20,24.69487673,59.96669215,5.859813416,91.95792434,peas
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,peas
5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,peas
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,peas
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,peas
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,peas
39,77,21,22.99774444,60.24218572,4.603563116,159.689339,peas
13,75,20,30.55992394,35.29006485,6.979540061,178.8998611,peas
27,71,24,31.46417866,48.17631461,7.064973419,165.405354,peas
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,peas
23,55,16,21.01142393,69.69141302,5.111488821,185.2039114,peas
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,peas
20,67,19,19.24462755,50.54495302,5.671419084,180.6465282,peas
7,74,17,22.47253208,62.56532471,5.667419697,96.74706956,peas
17,64,18,36.75087487,58.25799145,6.07938452,124.6028153,peas
35,71,17,29.89286629,66.35375127,6.931924963,198.1403003,peas
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,peas
20,60,22,29.65052947,42.89833235,6.876572503,186.9226052,peas
10,71,18,19.54284889,66.34777265,6.151029296,173.1106982,peas
33,61,24,20.04611791,48.93905624,4.567446499,122.4564203,peas
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,groundnuts
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,groundnuts
36,58,25,28.66024187,59.3189118,8.399135958,36.92629678,groundnuts
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,groundnuts
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,groundnuts
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,groundnuts
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,groundnuts
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,groundnuts
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,groundnuts
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,groundnuts
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,groundnuts
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,groundnuts
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,groundnuts
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,groundnuts
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,groundnuts
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,groundnuts
31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,groundnuts
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,groundnuts
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,groundnuts
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,groundnuts
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,groundnuts
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,groundnuts
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,groundnuts
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,groundnuts
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,groundnuts
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,groundnuts
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,groundnuts
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,groundnuts
22,43,24,25.42517036,53.2208266,4.52363558,46.19374559,groundnuts
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,groundnuts
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,groundnuts
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,groundnuts
8,45,15,28.09568993,60.9835384,4.61136408,33.84110759,groundnuts
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,groundnuts
36,57,16,28.61409059,57.14218792,8.292875734,57.02891698,groundnuts
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,groundnuts
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,groundnuts
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,groundnuts
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,groundnuts
9,49,16,30.88482722,41.36561835,7.661537348,55.053805,groundnuts
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,groundnuts
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,groundnuts
21,38,20,27.10508014,63.56791363,5.794289715,62.20279647,groundnuts
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,groundnuts
32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,groundnuts
29,44,20,30.04132304,63.56222995,8.620107545,31.83192392,groundnuts
25,51,18,27.77799528,54.82130787,9.45949344,50.28438729,groundnuts
10,44,24,30.99256944,43.02151392,8.0344125,58.27600682,groundnuts
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,groundnuts
9,60,23,31.96987867,57.17377029,6.276004336,64.25520357,groundnuts
3,58,21,25.36140526,46.82652785,9.160691747,55.60523179,groundnuts
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,groundnuts
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,groundnuts
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,groundnuts
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,groundnuts
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,groundnuts
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,groundnuts
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,groundnuts
21,39,20,27.06179658,52.3003173,7.388007483,60.74583498,groundnuts
35,57,25,27.0956288,42.26206161,8.340398059,71.1271039,groundnuts
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,groundnuts
35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,groundnuts
17,56,17,27.94293692,45.41393636,5.9565851,69.66289997,groundnuts
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,groundnuts
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,groundnuts
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,groundnuts
38,38,18,26.31051759,61.18749126,6.294130313,35.73403813,groundnuts
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,groundnuts
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,groundnuts
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,groundnuts
23,58,19,24.17093241,58.25204566,5.243634849,59.18953429,groundnuts
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,groundnuts
3,56,17,28.19912143,53.50567601,8.709291688,52.13580529,groundnuts
26,51,25,28.76488954,52.62741529,7.792508068,55.21606732,groundnuts
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,groundnuts
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,groundnuts
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,groundnuts
7,40,17,31.2123945,40.92604945,8.532078733,53.78769958,groundnuts
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,groundnuts
26,52,23,29.98835437,49.60384796,4.931890506,52.92929636,groundnuts
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,groundnuts
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,groundnuts
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,groundnuts
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,groundnuts
20,50,22,30.99694676,46.42693735,9.406887533,38.31597852,groundnuts
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,groundnuts
15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,groundnuts
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,groundnuts
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,groundnuts
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,groundnuts
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,groundnuts
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,groundnuts
40,55,18,30.38257873,40.5926071,7.115994051,47.95406479,groundnuts
18,36,23,24.01825377,53.76623369,7.214078621,35.03404425,groundnuts
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,groundnuts
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,groundnuts
22,51,16,27.96583691,61.34900107,8.639586199,70.10472076,groundnuts
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,groundnuts
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,groundnuts
16,51,21,31.01963639,49.9767522,3.532008668,32.81296548,groundnuts
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,cowpeas
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,cowpeas
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,cowpeas
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,cowpeas
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,cowpeas
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,cowpeas
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,cowpeas
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,cowpeas
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,cowpeas
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,cowpeas
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,cowpeas
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,cowpeas
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,cowpeas
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,cowpeas
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,cowpeas
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,cowpeas
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,cowpeas
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,cowpeas
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,cowpeas
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,cowpeas
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,cowpeas
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,cowpeas
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,cowpeas
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,cowpeas
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,cowpeas
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,cowpeas
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,cowpeas
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,cowpeas
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,cowpeas
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,cowpeas
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,cowpeas
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,cowpeas
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,cowpeas
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,cowpeas
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,cowpeas
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,cowpeas
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,cowpeas
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,cowpeas
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,cowpeas
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,cowpeas
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,cowpeas
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,cowpeas
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,cowpeas
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,cowpeas
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,cowpeas
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,cowpeas
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,cowpeas
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,cowpeas
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,cowpeas
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,cowpeas
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,cowpeas
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,cowpeas
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,cowpeas
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,cowpeas
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,cowpeas
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,cowpeas
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,cowpeas
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,cowpeas
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,cowpeas
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,cowpeas
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,cowpeas
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,cowpeas
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,cowpeas
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,cowpeas
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,cowpeas
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,cowpeas
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,cowpeas
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,cowpeas
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,cowpeas
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,cowpeas
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,cowpeas
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,cowpeas
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,cowpeas
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,cowpeas
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,cowpeas
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,cowpeas
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,cowpeas
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,cowpeas
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,cowpeas
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,cowpeas
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,cowpeas
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,cowpeas
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,cowpeas
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,cowpeas
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,cowpeas
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,cowpeas
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,cowpeas
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,cowpeas
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,cowpeas
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,cowpeas
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,cowpeas
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,cowpeas
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,cowpeas
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,cowpeas
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,cowpeas
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,cowpeas
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,cowpeas
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,cowpeas
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,cowpeas
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,cowpeas
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,banana
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,banana
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,banana
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,banana
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,banana
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,banana
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,banana
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
99,73,53,26.29039046,81.06003778,5.871702211,118.6730366,banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,banana
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,banana
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,banana
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,banana
93,81,50,27.71822477,76.57853189,6.036079266,102.2099836,banana
95,75,45,28.98333432,82.95958244,5.829898502,109.022564,banana
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,banana
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,banana
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
92,85,51,29.22118628,81.08183635,5.740764682,108.8616474,banana
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,banana
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
120,87,52,28.0764455,76.05522115,5.905494703,118.9923573,banana
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,banana
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,banana
111,88,55,29.44795403,78.34971537,5.505393833,96.45042585,banana
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,banana
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,banana
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,banana
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,banana
118,88,51,25.44926208,79.49221962,6.201911642,100.6619171,banana
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,banana
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,banana
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,banana
95,88,52,28.00316034,78.90085998,6.235461772,94.68180316,banana
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,banana
112,87,48,27.19711623,77.3970629,6.200111068,99.46950465,banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,banana
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,banana
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,banana
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,banana
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,mango
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,mango
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,mango
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,mango
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,mango
18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,mango
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango
37,30,34,27.53907547,53.63549533,6.797779227,99.35408185,mango
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,mango
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
